year,ED_region,county,s_Price,s_Capacity,s_ShareCCC,s_ShareHighRated
2012,Southeast,Freeborn,99.5,12.4,.029,0
2012,Metro,Washington,157,16.3,.086,0
2012,Southwestcentral,Kandiyohi,101,10.8,.024,0
2012,Southern,Olmsted,138.6,14.6,.051,0
2012,Southern,Winona,107.8,12.1,.049,0
2012,Metro,Ramsey,161.9,19.1,.158,0
2012,Metro,Hennepin,180.6,23.2,.2,0
2012,NorthCentral,Wadena,89.7,10.6,.029,0
2012,Metro,Dakota,163,16.4,.094,0
2012,Metro,Anoka,146.5,14.9,.085,0
2012,Southcentral,Sibley,104,9.800000000000001,0,0
2012,Northwest,Polk,100.3,13.4,.058,0
2012,Southern,Wabasha,114.6,10.9,.029,0
2012,NorthCentral,Todd,77.90000000000001,11.9,0,0
2012,Southwest,Nobles,82.2,12,.041,0
2012,Northwest,Pennington,99.5,11,.031,0
2012,Southwest,Lyon,101.3,12.5,.049,0
2012,Southern,Mower,106.9,11.7,.043,0
2012,Metro,Scott,158,13.1,.047,0
2012,Southcentral,Nicollet,117.5,16.4,.088,0
2012,Southwestcentral,Renville,95.5,13.5,.02,0
2012,Southeast,Dodge,119,11.5,.012,0
2012,Central,Stearns,110.3,12,.042,0
2012,Southeast,Goodhue,122.9,13.1,.047,0
2012,Central,Wright,133.4,11.6,.03,0
2012,Southeast,Fillmore,99.09999999999999,17.9,.05,0
2012,Southcentral,Le Sueur,117.9,10.3,0,0
2012,Southern,Rice,126,12,.043,0
2012,EastCentral,Mille Lacs,106.7,16.8,.083,0
2012,Southeast,Houston,100.5,10.4,.027,0
2012,Headwaters,Beltrami,104.9,13.7,.056,0
2012,Central,Sherburne,127,13.3,.05,0
2012,Southwestcentral,Meeker,99.5,13.2,.043,0
2012,Arrowhead,Saint Louis,111.7,16,.1,0
2012,Southcentral,Martin,93.8,10.9,.015,0
2012,Westcentral,Wilkin,93.5,9.4,0,0
2012,Westcentral,Otter Tail,101.4,10.8,.035,0
2012,Southwestcentral,McLeod,107.6,11.6,.023,0
2012,Westcentral,Clay,112.6,12.7,.049,0
2012,NorthCentral,Morrison,96.09999999999999,10.7,.009,0
2012,UpperMNvalley,Chippewa,89,12.2,.026,0
2012,Northwest,Red Lake,76.5,18.7,.042,0
2012,Southwest,Murray,85.40000000000001,11.5,.038,0
2012,Metro,Carver,160.6,16.3,.088,0
2012,NorthCentral,Crow Wing,116.4,13.1,.075,0
2012,Westcentral,Stevens,90,11.9,.031,0
2012,Southcentral,Blue Earth,114.4,15.7,.075,0
2012,Southern,Steele,107.3,13.5,.038,0
2012,Southcentral,Brown,96.3,12.3,.044,0
2012,EastCentral,Chisago,131.9,13.3,.065,0
2012,Central,Benton,112.6,11,.019,0
2012,NorthCentral,Cass,93,21.9,.038,0
2012,Northwest,Roseau,85.40000000000001,10.1,0,0
2012,Southcentral,Watonwan,85.40000000000001,13.3,.094,0
2012,Westcentral,Douglas,102.5,11.9,.021,0
2012,Arrowhead,Cook,82.09999999999999,10.1,.1,0
2012,Arrowhead,Itasca,96,13.9,.048,0
2012,Southwest,Cottonwood,92.2,10.7,.026,0
2012,Headwaters,Clearwater,77.2,11.5,0,0
2012,Northwest,Norman,79.7,14.2,.053,0
2012,Westcentral,Becker,106.1,10.9,.009,0
2012,Southwest,Redwood,93.2,9.699999999999999,0,0
2012,Arrowhead,Carlton,112.8,14.3,.06,0
2012,Headwaters,Hubbard,102.8,11.6,.039,0
2012,Arrowhead,Koochiching,100.2,10.4,0,0
2012,Westcentral,Pope,93,12,.063,0
2012,Southwest,Pipestone,94.8,10.8,.029,0
2012,UpperMNvalley,Yellow Medicine,87.40000000000001,10.6,.02,0
2012,Southcentral,Waseca,100.2,10.4,.027,0
2012,UpperMNvalley,Lac qui Parle,82.8,10.5,0,0
2012,Westcentral,Grant,86.40000000000001,10.1,0,0
2012,EastCentral,Pine,115.9,10.2,.018,0
2012,EastCentral,Isanti,128.9,17,.152,0
2012,Northwest,Marshall,88,10.7,.031,0
2012,EastCentral,Kanabec,102.2,22.4,.029,0
2012,UpperMNvalley,Big Stone,82.5,9.800000000000001,0,0
2012,Southwest,Lincoln,91.59999999999999,9.800000000000001,0,0
2012,UpperMNvalley,Swift,86.90000000000001,10.7,.026,0
2012,Headwaters,Lake of the Woods,84.09999999999999,9.9,0,0
2012,Headwaters,Mahnomen,81.09999999999999,14.9,.059,0
2012,Southwest,Jackson,91,12,.053,0
2012,Arrowhead,Aitkin,108.8,12.6,.042,0
2012,Southcentral,Faribault,83.2,13.7,.069,0
2012,Northwest,Kittson,79.5,9.699999999999999,0,0
2012,Southwest,Rock,93.3,9.9,0,0
2012,Arrowhead,Lake,105.5,9.9,.067,0
2012,Westcentral,Traverse,79.8,10.3,0,0
2013,Headwaters,Mahnomen,87.09999999999999,14.7,.056,.444
2013,Arrowhead,Saint Louis,117.2,15.9,.096,.063
2013,Southern,Olmsted,142.8,14.4,.051,.056
2013,Southcentral,Blue Earth,118.3,15.8,.07,.025
2013,Southwest,Lyon,106.8,12.3,.039,.016
2013,Arrowhead,Carlton,116.4,14.8,.079,.039
2013,Southern,Rice,128.6,11.7,.042,.018
2013,Westcentral,Clay,115.7,13.1,.048,.019
2013,Central,Stearns,112.5,12.2,.046,.018
2013,Southeast,Freeborn,104.1,12.1,.027,.013
2013,NorthCentral,Crow Wing,118.7,12.9,.079,.018
2013,Southcentral,Martin,99,10.9,.014,0
2013,Arrowhead,Itasca,101,14.6,.045,.157
2013,Southwestcentral,McLeod,109.5,12.5,.03,.038
2013,Southcentral,Brown,101.6,11.8,.035,.017
2013,Southern,Wabasha,119.5,10.7,.027,.014
2013,Southwest,Cottonwood,98.3,10.5,.024,.049
2013,Northwest,Roseau,90.2,10,0,.055
2013,Southwestcentral,Renville,100.9,32.5,.019,.038
2013,Arrowhead,Koochiching,106.8,10.2,0,.036
2013,Westcentral,Otter Tail,106.7,10.5,.025,.019
2013,Southeast,Fillmore,101.6,18.5,.052,.052
2013,Westcentral,Douglas,105.5,12.6,.025,.032
2013,Southern,Mower,111.3,11.2,.04,.02
2013,NorthCentral,Todd,87.7,11.1,0,.091
2013,NorthCentral,Cass,98.2,20.3,.034,.153
2013,UpperMNvalley,Swift,89.2,11.5,.025,.1
2013,Southern,Steele,110.1,13,.037,.019
2013,Headwaters,Clearwater,84.59999999999999,11.1,0,.2
2013,Southern,Winona,110.7,12,.047,.034
2013,Southwest,Murray,90.3,11.1,.034,0
2013,Southwest,Rock,99.40000000000001,9.699999999999999,0,0
2013,Northwest,Pennington,103.3,10.9,.029,.015
2013,Southcentral,Watonwan,90.5,13.5,.094,.031
2013,Central,Benton,116,11.4,.018,.006
2013,Arrowhead,Lake,111,10.6,.056,.056
2013,Southeast,Goodhue,125.3,11.4,.046,.015
2013,Northwest,Polk,105.8,13,.056,.065
2013,EastCentral,Mille Lacs,113.5,18.2,.07,.053
2013,Southcentral,Nicollet,120.9,15.3,.086,.032
2013,Southwest,Lincoln,98.40000000000001,10,0,0
2013,Westcentral,Stevens,100.4,11.5,.026,.026
2013,Northwest,Marshall,95.40000000000001,10.6,.056,.083
2013,Southcentral,Waseca,103.2,10.6,.029,.015
2013,Southcentral,Faribault,85.5,13.5,.067,.1
2013,UpperMNvalley,Chippewa,91.40000000000001,12.2,.027,.054
2013,Headwaters,Beltrami,107.4,13.5,.047,.047
2013,NorthCentral,Morrison,101.2,10.4,.025,.025
